anchor_id,scale_ref,scale_test,delta_g_fro_rel
128,1s0,1.25s0,0.023573
128,1s0,1.5s0,0.040515
1,1s0,1.25s0,0.122317
1,1s0,1.5s0,0.188351
260,1s0,1.25s0,0.029525
260,1s0,1.5s0,0.050664
262,1s0,1.25s0,0.015026
262,1s0,1.5s0,0.032473
136,1s0,1.25s0,0.077275
136,1s0,1.5s0,0.118007
137,1s0,1.25s0,0.029903
137,1s0,1.5s0,0.072111
10,1s0,1.25s0,0.110021
10,1s0,1.5s0,0.067084
12,1s0,1.25s0,0.070960
12,1s0,1.5s0,0.119912
269,1s0,1.25s0,0.054676
269,1s0,1.5s0,0.071424
143,1s0,1.25s0,0.009265
143,1s0,1.5s0,0.017372
18,1s0,1.25s0,0.117145
18,1s0,1.5s0,0.250124
275,1s0,1.25s0,0.006607
275,1s0,1.5s0,0.011061
148,1s0,1.25s0,0.031974
148,1s0,1.5s0,0.060389
21,1s0,1.25s0,0.041784
21,1s0,1.5s0,0.004205
147,1s0,1.25s0,0.166733
147,1s0,1.5s0,0.173411
279,1s0,1.25s0,0.011773
279,1s0,1.5s0,0.016985
24,1s0,1.25s0,0.093766
24,1s0,1.5s0,0.117414
153,1s0,1.25s0,0.131169
153,1s0,1.5s0,0.232567
154,1s0,1.25s0,0.036522
154,1s0,1.5s0,0.058915
26,1s0,1.25s0,0.011037
26,1s0,1.5s0,0.016871
29,1s0,1.25s0,0.279637
29,1s0,1.5s0,0.327028
30,1s0,1.25s0,0.168712
30,1s0,1.5s0,0.179094
32,1s0,1.25s0,0.032769
32,1s0,1.5s0,0.061023
161,1s0,1.25s0,0.032703
161,1s0,1.5s0,0.051754
160,1s0,1.25s0,0.010629
160,1s0,1.5s0,0.031754
40,1s0,1.25s0,0.056064
40,1s0,1.5s0,0.108589
171,1s0,1.25s0,0.038150
171,1s0,1.5s0,0.081008
172,1s0,1.25s0,0.045410
172,1s0,1.5s0,0.086742
47,1s0,1.25s0,0.049193
47,1s0,1.5s0,0.121459
180,1s0,1.25s0,0.038132
180,1s0,1.5s0,0.062988
183,1s0,1.25s0,0.019958
183,1s0,1.5s0,0.033814
185,1s0,1.25s0,0.046234
185,1s0,1.5s0,0.075945
58,1s0,1.25s0,0.023320
58,1s0,1.5s0,0.038539
60,1s0,1.25s0,0.011338
60,1s0,1.5s0,0.018786
188,1s0,1.25s0,0.032445
188,1s0,1.5s0,0.065839
191,1s0,1.25s0,0.055767
191,1s0,1.5s0,0.115018
64,1s0,1.25s0,0.036743
64,1s0,1.5s0,0.050172
192,1s0,1.25s0,0.031299
192,1s0,1.5s0,0.063179
194,1s0,1.25s0,0.063897
194,1s0,1.5s0,0.009064
198,1s0,1.25s0,0.064380
198,1s0,1.5s0,0.114492
70,1s0,1.25s0,0.069735
70,1s0,1.5s0,0.113999
71,1s0,1.25s0,0.042035
71,1s0,1.5s0,0.067969
77,1s0,1.25s0,0.033977
77,1s0,1.5s0,0.050467
205,1s0,1.25s0,0.077456
205,1s0,1.5s0,0.139641
81,1s0,1.25s0,0.012717
81,1s0,1.5s0,0.025627
211,1s0,1.25s0,0.016879
211,1s0,1.5s0,0.031122
216,1s0,1.25s0,0.037839
216,1s0,1.5s0,0.065600
89,1s0,1.25s0,0.046906
89,1s0,1.5s0,0.060658
88,1s0,1.25s0,0.012613
88,1s0,1.5s0,0.026982
91,1s0,1.25s0,0.013175
91,1s0,1.5s0,0.023115
222,1s0,1.25s0,0.007483
222,1s0,1.5s0,0.014964
223,1s0,1.25s0,0.007297
223,1s0,1.5s0,0.028883
224,1s0,1.25s0,0.062828
224,1s0,1.5s0,0.102153
226,1s0,1.25s0,0.012479
226,1s0,1.5s0,0.060103
229,1s0,1.25s0,0.017532
229,1s0,1.5s0,0.019271
102,1s0,1.25s0,0.005565
102,1s0,1.5s0,0.036325
231,1s0,1.25s0,0.109738
231,1s0,1.5s0,0.235020
232,1s0,1.25s0,0.070326
232,1s0,1.5s0,0.087420
233,1s0,1.25s0,0.026946
233,1s0,1.5s0,0.044398
234,1s0,1.25s0,0.008550
234,1s0,1.5s0,0.006983
107,1s0,1.25s0,0.014977
107,1s0,1.5s0,0.037267
106,1s0,1.25s0,0.113577
106,1s0,1.5s0,0.197826
109,1s0,1.25s0,0.086584
109,1s0,1.5s0,0.132998
240,1s0,1.25s0,0.039314
240,1s0,1.5s0,0.052092
124,1s0,1.25s0,0.034824
124,1s0,1.5s0,0.060502
242,1s0,1.25s0,0.178406
242,1s0,1.5s0,0.316703
116,1s0,1.25s0,0.006683
116,1s0,1.5s0,0.020153
245,1s0,1.25s0,0.052902
245,1s0,1.5s0,0.098979
118,1s0,1.25s0,0.037178
118,1s0,1.5s0,0.065793
121,1s0,1.25s0,0.073611
121,1s0,1.5s0,0.169306
127,1s0,1.25s0,0.053466
127,1s0,1.5s0,0.095850
255,1s0,1.25s0,0.075442
255,1s0,1.5s0,0.146389
