anchor_id,scale,sigma_center,eps,g11_op,g12_op,g22_op,g11_th,g12_th,g22_th,min_eig,max_eig,trace_op,trace_th,frob_op,det_op,cond_op,spd_op
128,1s0,0.791278,-1.582556,0.817396,-0.024333,0.489558,-0.172759,-0.060833,-0.992353,0.487762,0.819192,1.306954,-1.165112,0.953408,0.399571,1.679491,True
128,1.25s0,0.788057,-1.576115,0.815417,-0.013402,0.505751,-0.189033,-0.033505,-0.963197,0.505172,0.815996,1.321168,-1.152229,0.959713,0.412219,1.615282,True
128,1.5s0,0.785716,-1.571432,0.813828,-0.003860,0.514876,-0.197742,-0.009650,-0.945122,0.514826,0.813877,1.328703,-1.142864,0.963038,0.419005,1.580879,True
1,1s0,0.486749,-0.973499,0.772890,0.003645,0.620309,0.217227,0.009113,-0.164225,0.620222,0.772977,1.393199,0.053002,0.991044,0.479417,1.246291,True
1,1.25s0,0.481881,-0.963763,0.698230,5.905964e-04,0.715712,0.014384,0.001476,0.058091,0.698210,0.715732,1.413942,0.072475,0.999885,0.499731,1.025097,True
1,1.5s0,0.478724,-0.957448,0.645938,0.005818,0.757120,-0.096425,0.014544,0.181530,0.645634,0.757424,1.403058,0.085105,0.995256,0.489019,1.173146,True
260,1s0,0.817513,-1.635026,0.470856,0.113760,0.787509,-1.030843,0.284399,-0.239209,0.434224,0.824140,1.258364,-1.270052,0.931535,0.357862,1.897959,True
260,1.25s0,0.816728,-1.633456,0.491480,0.101234,0.791668,-1.008690,0.253085,-0.258221,0.460531,0.822617,1.283148,-1.266911,0.942755,0.378840,1.786235,True
260,1.5s0,0.816415,-1.632830,0.502451,0.089623,0.795508,-0.999152,0.224057,-0.266508,0.477216,0.820744,1.297959,-1.265661,0.949397,0.391672,1.719860,True
262,1s0,0.546595,-1.093191,0.554682,-0.174937,0.710246,-0.287645,-0.437342,0.101264,0.441014,0.823913,1.264928,-0.186381,0.934519,0.363358,1.868223,True
262,1.25s0,0.550603,-1.101207,0.565556,-0.168842,0.712398,-0.284760,-0.422105,0.082346,0.454862,0.823092,1.277954,-0.202414,0.940415,0.374393,1.809541,True
262,1.5s0,0.553037,-1.106074,0.575700,-0.160225,0.717049,-0.282761,-0.400563,0.070612,0.471254,0.821494,1.292749,-0.212148,0.947066,0.387133,1.743208,True
136,1s0,0.721315,-1.442630,0.553680,-0.054786,0.794735,-0.743948,-0.136965,-0.141311,0.541812,0.806602,1.348415,-0.885259,0.971683,0.437027,1.488711,True
136,1.25s0,0.716677,-1.433354,0.620258,-0.038575,0.768662,-0.618859,-0.096438,-0.247849,0.610830,0.778091,1.388921,-0.866708,0.989211,0.475281,1.273825,True
136,1.5s0,0.713876,-1.427753,0.652086,-0.027085,0.750806,-0.551153,-0.067713,-0.304352,0.645143,0.757749,1.402893,-0.855505,0.995185,0.488857,1.174544,True
137,1s0,0.333433,-0.666866,0.721212,0.086155,0.662962,0.405947,0.215387,0.260322,0.601142,0.783031,1.384174,0.666269,0.987173,0.470713,1.302572,True
137,1.25s0,0.341862,-0.683725,0.725362,0.066170,0.670400,0.384978,0.165424,0.247573,0.626232,0.769531,1.395763,0.632551,0.992141,0.481905,1.228827,True
137,1.5s0,0.347758,-0.695516,0.723315,0.038171,0.684368,0.353168,0.095428,0.255799,0.660990,0.746694,1.407684,0.608967,0.997226,0.493557,1.129659,True
