anchor_id,sigma_center,conf,s11,s12,s22,s_frob,tr_s_abs,tr_s_relative,h12_raw,g12_th,sign_consistent,dev_ratio
128,0.791278,-0.582556,0.409797,-0.060833,-0.409797,0.585891,0.000000,0.000000,0.002437,-0.060833,skipped,0.370218
1,0.486749,0.026501,0.190726,0.009113,-0.190726,0.270035,5.551115e-17,2.055700e-16,-5.452988e-04,0.009113,skipped,0.277386
260,0.817513,-0.635026,-0.395817,0.284399,0.395817,0.689280,1.110223e-16,1.610699e-16,-0.005591,0.284399,skipped,0.421571
262,0.546595,-0.093191,-0.194455,-0.437342,0.194455,0.676876,1.110223e-16,1.640217e-16,0.007385,-0.437342,True,0.619175
136,0.721315,-0.442630,-0.301319,-0.136965,0.301319,0.468087,1.110223e-16,2.371833e-16,0.006812,-0.136965,skipped,0.324468
137,0.333433,0.333134,0.072813,0.215387,-0.072813,0.321537,0.000000,0.000000,0.014204,0.215387,skipped,0.482162
10,0.065294,0.869413,0.217609,-0.251623,-0.217609,0.470464,0.000000,0.000000,-0.003183,-0.251623,skipped,3.602683
12,0.656421,-0.312843,-0.408364,-0.014028,0.408364,0.577855,1.110223e-16,1.921283e-16,2.479090e-04,-0.014028,skipped,0.440156
269,0.758393,-0.516785,-0.069694,-0.144826,0.069694,0.227297,0.000000,0.000000,0.007956,-0.144826,skipped,0.149854
143,0.718020,-0.436041,0.018997,0.127042,-0.018997,0.181662,0.000000,0.000000,-0.011900,0.127042,skipped,0.126502
18,0.809190,-0.618381,-0.125268,-0.191637,0.125268,0.323780,0.000000,0.000000,9.250467e-04,-0.191637,skipped,0.200064
275,0.810795,-0.621590,0.188658,0.189067,-0.188658,0.377725,0.000000,0.000000,-0.007377,0.189067,skipped,0.232935
148,0.798318,-0.596637,-0.034000,-0.426532,0.034000,0.605121,0.000000,0.000000,0.009266,-0.426532,True,0.378997
21,0.795409,-0.590819,0.318630,0.035867,-0.318630,0.453457,1.110223e-16,2.448356e-16,-6.922990e-04,0.035867,skipped,0.285046
147,0.647752,-0.295504,0.122852,-0.030007,-0.122852,0.178847,0.000000,0.000000,-0.001367,-0.030007,skipped,0.138052
279,0.834374,-0.668747,0.046162,-0.458091,-0.046162,0.651120,0.000000,0.000000,0.008660,-0.458091,skipped,0.390185
24,0.391312,0.217377,0.154200,-0.158808,-0.154200,0.313041,1.110223e-16,3.546570e-16,-0.006453,-0.158808,skipped,0.399990
153,0.598416,-0.196831,0.040852,0.421974,-0.040852,0.599552,0.000000,0.000000,-0.007136,0.421974,skipped,0.500949
154,0.660765,-0.321531,-0.178964,-0.342457,0.178964,0.546452,1.110223e-16,2.031692e-16,-0.018660,-0.342457,skipped,0.413500
26,0.579904,-0.159808,0.024767,0.356361,-0.024767,0.505186,1.110223e-16,2.197653e-16,0.017913,0.356361,skipped,0.435577
29,0.419814,0.160372,0.361347,-0.303816,-0.361347,0.667646,5.551115e-17,8.314464e-17,-0.001764,-0.303816,skipped,0.795168
30,0.640879,-0.281758,-0.152087,-0.151063,0.152087,0.303152,1.110223e-16,3.662263e-16,0.002001,-0.151063,skipped,0.236513
32,0.083237,0.833527,-0.104235,-0.304497,0.104235,0.455155,0.000000,0.000000,-0.012603,-0.304497,skipped,2.734102
161,0.820567,-0.641135,-0.001812,-0.053466,0.001812,0.075656,1.110223e-16,1.467466e-15,0.005816,-0.053466,skipped,0.046100
160,0.535605,-0.071210,-0.315641,0.189727,0.315641,0.520818,1.110223e-16,2.131692e-16,-0.008383,0.189727,True,0.486196
40,0.353630,0.292740,0.095212,0.234929,-0.095212,0.358489,1.110223e-16,3.096954e-16,-0.015842,0.234929,skipped,0.506870
171,0.329496,0.341008,0.110512,0.023233,-0.110512,0.159704,0.000000,0.000000,-0.002396,0.023233,skipped,0.242347
172,0.538381,-0.076762,-0.219594,0.051366,0.219594,0.318935,5.551115e-17,1.740514e-16,-0.001562,0.051366,True,0.296199
47,0.835292,-0.670585,0.207672,-0.422674,-0.207672,0.666005,0.000000,0.000000,0.003755,-0.422674,skipped,0.398666
180,0.804302,-0.608603,0.131528,0.313281,-0.131528,0.480510,1.110223e-16,2.310511e-16,-0.005490,0.313281,True,0.298712
183,0.816564,-0.633129,-0.300619,0.243151,0.300619,0.546798,1.110223e-16,2.030408e-16,-0.006936,0.243151,skipped,0.334816
185,0.658306,-0.316612,0.114030,0.010070,-0.114030,0.161890,1.110223e-16,6.857868e-16,-2.191739e-04,0.010070,skipped,0.122960
58,0.662207,-0.324414,-0.072087,-0.039232,0.072087,0.116066,1.110223e-16,9.565457e-16,-0.004762,-0.039232,skipped,0.087636
60,0.812916,-0.625833,-0.041539,0.032153,0.041539,0.074287,0.000000,0.000000,-0.004324,0.032153,skipped,0.045692
188,0.789538,-0.579075,0.217988,0.137059,-0.217988,0.364153,1.110223e-16,3.048780e-16,-0.004614,0.137059,skipped,0.230612
191,0.134042,0.731916,0.003720,0.371550,-0.003720,0.525477,0.000000,0.000000,-0.011024,0.371550,skipped,1.960123
