anchor_id,scale,frob_hessian_raw,is_low_curv,cond_number,sigma_center,eps,g11_op,g12_op,g22_op,g11_th,g12_th,g22_th
128,1s0,0.028964,True,1.679491,0.791278,-1.582556,0.817396,-0.024333,0.489558,-0.172759,-0.060833,-0.992353
128,1.25s0,0.020549,True,1.615282,0.788057,-1.576115,0.815417,-0.013402,0.505751,-0.189033,-0.033505,-0.963197
128,1.5s0,0.013826,True,1.580879,0.785716,-1.571432,0.813828,-0.003860,0.514876,-0.197742,-0.009650,-0.945122
1,1s0,0.016782,True,1.246291,0.486749,-0.973499,0.772890,0.003645,0.620309,0.217227,0.009113,-0.164225
1,1.25s0,0.016394,True,1.025097,0.481881,-0.963763,0.698230,5.905964e-04,0.715712,0.014384,0.001476,0.058091
1,1.5s0,0.013552,True,1.173146,0.478724,-0.957448,0.645938,0.005818,0.757120,-0.096425,0.014544,0.181530
260,1s0,0.018704,True,1.897959,0.817513,-1.635026,0.470856,0.113760,0.787509,-1.030843,0.284399,-0.239209
260,1.25s0,0.010323,True,1.786235,0.816728,-1.633456,0.491480,0.101234,0.791668,-1.008690,0.253085,-0.258221
260,1.5s0,0.006082,True,1.719860,0.816415,-1.632830,0.502451,0.089623,0.795508,-0.999152,0.224057,-0.266508
262,1s0,0.016886,True,1.868223,0.546595,-1.093191,0.554682,-0.174937,0.710246,-0.287645,-0.437342,0.101264
262,1.25s0,0.010457,True,1.809541,0.550603,-1.101207,0.565556,-0.168842,0.712398,-0.284760,-0.422105,0.082346
262,1.5s0,0.006834,True,1.743208,0.553037,-1.106074,0.575700,-0.160225,0.717049,-0.282761,-0.400563,0.070612
136,1s0,0.026345,True,1.488711,0.721315,-1.442630,0.553680,-0.054786,0.794735,-0.743948,-0.136965,-0.141311
136,1.25s0,0.020340,True,1.273825,0.716677,-1.433354,0.620258,-0.038575,0.768662,-0.618859,-0.096438,-0.247849
136,1.5s0,0.016422,True,1.174544,0.713876,-1.427753,0.652086,-0.027085,0.750806,-0.551153,-0.067713,-0.304352
137,1s0,0.022394,True,1.302572,0.333433,-0.666866,0.721212,0.086155,0.662962,0.405947,0.215387,0.260322
137,1.25s0,0.014099,True,1.228827,0.341862,-0.683725,0.725362,0.066170,0.670400,0.384978,0.165424,0.247573
137,1.5s0,0.008684,True,1.129659,0.347758,-0.695516,0.723315,0.038171,0.684368,0.353168,0.095428,0.255799
10,1s0,0.012651,True,1.492128,0.065294,-0.130587,0.760894,-0.100649,0.586806,1.087022,-0.251623,0.651804
10,1.25s0,0.008052,True,1.871916,0.070110,-0.140220,0.736009,-0.161296,0.528101,1.119665,-0.403239,0.599895
10,1.5s0,0.005253,True,1.669298,0.073263,-0.146526,0.736572,-0.142208,0.572648,1.058379,-0.355519,0.648570
12,1s0,0.012513,True,1.664857,0.656421,-1.312843,0.491757,-0.005611,0.818449,-0.721207,-0.014028,0.095522
12,1.25s0,0.010923,True,1.447955,0.655789,-1.311578,0.554542,0.008304,0.802272,-0.621240,0.020760,-0.001916
12,1.5s0,0.008611,True,1.330688,0.655988,-1.311975,0.594233,0.021715,0.785052,-0.550499,0.054287,-0.073452
269,1s0,0.012822,True,1.202354,0.758393,-1.516785,0.671826,-0.057930,0.727581,-0.586480,-0.144826,-0.447091
269,1.25s0,0.009582,True,1.078586,0.757242,-1.514484,0.691503,-0.022504,0.720188,-0.550340,-0.056261,-0.478628
269,1.5s0,0.007331,True,1.043190,0.756608,-1.513216,0.697825,-0.012008,0.715599,-0.535433,-0.030020,-0.491000
143,1s0,0.017304,True,1.157850,0.718020,-1.436041,0.709999,0.050817,0.694802,-0.417044,0.127042,-0.455038
143,1.25s0,0.011741,True,1.175966,0.719558,-1.439117,0.705983,0.056529,0.696740,-0.427562,0.141323,-0.450671
143,1.5s0,0.008291,True,1.192703,0.720689,-1.441379,0.702364,0.061514,0.698294,-0.436292,0.153785,-0.446465
18,1s0,0.004827,True,1.305115,0.809190,-1.618381,0.641764,-0.076655,0.741978,-0.743649,-0.191637,-0.493113
18,1.25s0,0.002050,True,1.453078,0.808079,-1.616158,0.692711,-0.124323,0.663061,-0.579095,-0.310808,-0.653221
18,1.5s0,9.659114e-04,True,1.883645,0.807407,-1.614814,0.710464,-0.176087,0.551056,-0.415555,-0.440218,-0.814073
275,1s0,0.015917,True,1.368837,0.810795,-1.621590,0.761616,0.075627,0.610690,-0.432932,0.189067,-0.810248
275,1.25s0,0.008798,True,1.377496,0.810316,-1.620633,0.765042,0.074082,0.605631,-0.421369,0.185205,-0.819896
275,1.5s0,0.005002,True,1.353094,0.810111,-1.620222,0.764937,0.068319,0.610293,-0.426917,0.170797,-0.813527
148,1s0,0.021725,True,1.715691,0.798318,-1.596637,0.635844,-0.170613,0.663045,-0.630637,-0.426532,-0.562636
148,1.25s0,0.013351,True,1.829991,0.795819,-1.591638,0.629670,-0.186602,0.643735,-0.609219,-0.466505,-0.574057
148,1.5s0,0.008405,True,1.924879,0.794367,-1.588734,0.631564,-0.197947,0.620887,-0.575387,-0.494869,-0.602081
21,1s0,0.019302,True,1.468006,0.795409,-1.590819,0.803808,0.014347,0.548904,-0.272189,0.035867,-0.909449
21,1.25s0,0.012849,True,1.601342,0.793411,-1.586821,0.814552,0.013779,0.509678,-0.205729,0.034448,-0.967914
21,1.5s0,0.008422,True,1.456062,0.791919,-1.583837,0.802714,0.013122,0.552448,-0.271005,0.032805,-0.896669
147,1s0,0.008280,True,1.155179,0.647752,-1.295504,0.751687,-0.012003,0.653406,-0.172652,-0.030007,-0.418356
147,1.25s0,0.005570,True,1.638568,0.643180,-1.286361,0.813260,-0.035486,0.502772,0.101750,-0.088716,-0.674472
147,1.5s0,0.004330,True,1.663365,0.640959,-1.281918,0.814037,-0.037806,0.496500,0.115004,-0.094516,-0.678840
279,1s0,0.016218,True,1.809924,0.834374,-1.668747,0.657399,-0.183237,0.620470,-0.622585,-0.458091,-0.714909
279,1.25s0,0.008973,True,1.770314,0.829891,-1.659781,0.664946,-0.177581,0.621753,-0.605790,-0.443954,-0.713773
279,1.5s0,0.005087,True,1.756712,0.827344,-1.654687,0.668868,-0.175380,0.620867,-0.594687,-0.438450,-0.714688
24,1s0,0.013393,True,1.293014,0.391312,-0.782623,0.754571,-0.063523,0.631211,0.371576,-0.158808,0.063177
24,1.25s0,0.010783,True,1.566721,0.387584,-0.775168,0.778704,-0.094286,0.553078,0.506864,-0.235715,-0.057201
24,1.5s0,0.008630,True,1.604169,0.386026,-0.772052,0.799219,-0.068497,0.524391,0.571482,-0.171241,-0.115587
153,1s0,0.012669,True,1.705030,0.598416,-1.196831,0.666974,0.168790,0.634292,-0.155979,0.421974,-0.237683
153,1.25s0,0.007719,True,1.317738,0.596420,-1.192839,0.682235,0.094313,0.699330,-0.214208,0.235782,-0.171470
153,1.5s0,0.005144,True,1.071682,0.595485,-1.190970,0.701697,0.024039,0.710403,-0.201853,0.060098,-0.180087
154,1s0,0.035553,True,1.610208,0.660765,-1.321531,0.589556,-0.136983,0.732728,-0.500495,-0.342457,-0.142567
154,1.25s0,0.027697,True,1.734867,0.659020,-1.318040,0.560298,-0.150606,0.734313,-0.535559,-0.376516,-0.100521
154,1.5s0,0.020112,True,1.820810,0.658483,-1.316967,0.542691,-0.159387,0.732755,-0.554547,-0.398467,-0.079387
26,1s0,0.029425,True,1.543847,0.579904,-1.159808,0.678267,0.142544,0.658454,-0.135042,0.356361,-0.184575
26,1.25s0,0.019171,True,1.559634,0.575834,-1.151668,0.683568,0.144773,0.649749,-0.109394,0.361932,-0.193942
26,1.5s0,0.012893,True,1.557501,0.573450,-1.146901,0.688162,0.143808,0.645616,-0.093719,0.359520,-0.200083
29,1s0,0.005807,True,1.846818,0.419814,-0.839628,0.779373,-0.121526,0.490296,0.521719,-0.303816,-0.200975
29,1.25s0,0.002372,True,1.211378,0.418380,-0.836760,0.758789,0.030045,0.639410,0.312463,0.075112,0.014016
29,1.5s0,0.002666,True,1.306747,0.417286,-0.834572,0.633438,-0.071156,0.750025,0.019694,-0.177890,0.311161
30,1s0,0.004215,True,1.282030,0.640879,-1.281758,0.632962,-0.060425,0.754632,-0.433845,-0.151063,-0.129671
30,1.25s0,0.004095,True,1.095787,0.638534,-1.277068,0.732634,0.017027,0.677894,-0.208643,0.042567,-0.345492
30,1.5s0,0.003426,True,1.125151,0.637075,-1.274149,0.742792,0.014772,0.665310,-0.177297,0.036931,-0.371001
32,1s0,0.041388,True,1.470383,0.083237,-0.166473,0.634417,-0.121799,0.717805,0.729291,-0.304497,0.937762
32,1.25s0,0.027534,True,1.397489,0.085451,-0.170903,0.660051,-0.110871,0.706788,0.770677,-0.277177,0.887518
32,1.5s0,0.018272,True,1.365569,0.087489,-0.174978,0.682279,-0.106001,0.690639,0.814572,-0.265003,0.835472
161,1s0,0.008254,True,1.062487,0.820567,-1.641135,0.705571,-0.021386,0.707021,-0.642947,-0.053466,-0.639323
161,1.25s0,0.004879,True,1.004832,0.820111,-1.640222,0.707329,0.001689,0.706874,-0.639653,0.004222,-0.640792
161,1.5s0,0.003157,True,1.044308,0.819854,-1.639708,0.709969,0.014962,0.703414,-0.631515,0.037405,-0.647902
160,1s0,0.044184,True,1.568314,0.535605,-1.071210,0.539462,0.075891,0.791974,-0.386851,0.189727,0.244431
160,1.25s0,0.032591,True,1.585822,0.535033,-1.070065,0.531765,0.071972,0.795860,-0.400184,0.179930,0.260053
160,1.5s0,0.022918,True,1.665756,0.533068,-1.066136,0.509936,0.075596,0.800071,-0.428805,0.188990,0.296533
40,1s0,0.025895,True,1.345524,0.353630,-0.707260,0.726392,0.093972,0.650223,0.387951,0.234929,0.197528
40,1.25s0,0.017174,True,1.205150,0.354382,-0.708765,0.730314,0.057330,0.668722,0.368225,0.143325,0.214245
40,1.5s0,0.011407,True,1.084880,0.353994,-0.707987,0.721718,0.023810,0.689570,0.332198,0.059526,0.251827
171,1s0,0.016685,True,1.137235,0.329496,-0.658992,0.747681,0.009293,0.659272,0.451521,0.023233,0.230496
171,1.25s0,0.013798,True,1.227523,0.337324,-0.674649,0.768469,0.010636,0.627480,0.501588,0.026590,0.149115
171,1.5s0,0.010267,True,1.340184,0.342199,-0.684397,0.788038,0.013249,0.589544,0.563719,0.033122,0.067486
172,1s0,0.030416,True,1.299633,0.538381,-1.076762,0.604498,0.020547,0.780173,-0.296356,0.051366,0.142832
172,1.25s0,0.019441,True,1.283337,0.535572,-1.071145,0.622072,0.047755,0.765308,-0.250190,0.119387,0.107900
172,1.5s0,0.012711,True,1.322165,0.533050,-1.066099,0.630120,0.074438,0.750671,-0.216787,0.186095,0.084589
47,1s0,0.007932,True,1.843075,0.835292,-1.670585,0.718319,-0.169070,0.552181,-0.462912,-0.422674,-0.878257
47,1.25s0,0.003966,True,1.878027,0.832139,-1.664279,0.744132,-0.156173,0.518628,-0.382399,-0.390431,-0.946159
47,1.5s0,0.002053,True,1.938887,0.830455,-1.660911,0.776839,-0.129151,0.472546,-0.280544,-0.322877,-1.041277
180,1s0,0.017525,True,1.506739,0.804302,-1.608603,0.724925,0.125312,0.619703,-0.477075,0.313281,-0.740132
180,1.25s0,0.009572,True,1.544486,0.803128,-1.606257,0.746181,0.119933,0.590403,-0.411534,0.299832,-0.800979
180,1.5s0,0.005554,True,1.579823,0.802292,-1.604585,0.758529,0.115995,0.570404,-0.369428,0.289989,-0.839741
183,1s0,0.018629,True,1.610788,0.816564,-1.633129,0.540831,0.097260,0.781326,-0.933748,0.243151,-0.332510
