vertex,U,gamma_PPN,beta_PPN,c_eff,delta_S
0,0.064435,1.033290,0.500000,0.880546,0.135659
1,0.083382,1.043505,0.500000,0.848587,0.178429
2,0.024850,1.012581,0.500000,0.951785,0.050658
3,0.011014,1.005538,0.500000,0.978269,0.022213
4,0.029770,1.015110,0.500000,0.942575,0.060924
5,0.012403,1.006240,0.500000,0.975571,0.025040
6,0.024167,1.012231,0.500000,0.953072,0.049239
7,0.035601,1.018123,0.500000,0.931797,0.073195
8,0.077024,1.040054,0.500000,0.859169,0.163915
9,0.078546,1.040879,0.500000,0.856623,0.167375
10,0.069477,1.035989,0.500000,0.871914,0.146902
11,0.017702,1.008930,0.500000,0.965359,0.035884
12,0.069815,1.036170,0.500000,0.871340,0.147657
13,0.059268,1.030539,0.500000,0.889489,0.124241
14,0.076791,1.039928,0.500000,0.859560,0.163386
15,0.055448,1.028515,0.500000,0.896167,0.115864
16,0.062012,1.031998,0.500000,0.884728,0.130291
17,0.085743,1.044792,0.500000,0.844694,0.183861
18,0.024978,1.012647,0.500000,0.951544,0.050923
19,0.055017,1.028287,0.500000,0.896924,0.114922
20,0.040375,1.020603,0.500000,0.923079,0.083330
21,0.042702,1.021817,0.500000,0.918865,0.088299
22,0.062541,1.032280,0.500000,0.883813,0.131461
23,0.030986,1.015737,0.500000,0.940316,0.063473
24,0.008409,1.004222,0.500000,0.983356,0.016925
25,0.069118,1.035796,0.500000,0.872526,0.146097
26,0.057144,1.029412,0.500000,0.893196,0.119575
27,0.037391,1.019052,0.500000,0.928516,0.076987
28,0.060013,1.030935,0.500000,0.888194,0.125881
29,0.064740,1.033453,0.500000,0.880022,0.136336
30,0.055598,1.028594,0.500000,0.895905,0.116190
31,0.031623,1.016065,0.500000,0.939135,0.064810
32,0.094417,1.049547,0.500000,0.830554,0.204016
33,0.076361,1.039696,0.500000,0.860281,0.162411
34,0.043017,1.021981,0.500000,0.918295,0.088974
35,0.094692,1.049699,0.500000,0.830109,0.204660
36,0.034045,1.017317,0.500000,0.934659,0.069909
37,0.075914,1.039454,0.500000,0.861031,0.161399
38,0.053142,1.027296,0.500000,0.900227,0.110831
39,0.046172,1.023631,0.500000,0.912621,0.095745
40,0.023154,1.011712,0.500000,0.954985,0.047136
41,0.040789,1.020819,0.500000,0.922328,0.084213
42,0.087745,1.045886,0.500000,0.841408,0.188485
43,0.027834,1.014113,0.500000,0.946187,0.056873
44,0.073085,1.037928,0.500000,0.865796,0.155007
45,0.056996,1.029334,0.500000,0.893455,0.119250
46,0.054210,1.027860,0.500000,0.898343,0.113160
47,0.044283,1.022643,0.500000,0.916014,0.091687
48,0.087554,1.045781,0.500000,0.841721,0.188042
49,0.094917,1.049823,0.500000,0.829746,0.205188
50,0.032979,1.016766,0.500000,0.936626,0.067662
51,0.070450,1.036511,0.500000,0.870259,0.149083
52,0.086052,1.044960,0.500000,0.844187,0.184572
53,0.044399,1.022703,0.500000,0.915806,0.091935
54,0.035737,1.018194,0.500000,0.931546,0.073484
55,0.099724,1.052479,0.500000,0.822025,0.216508
56,0.045025,1.023031,0.500000,0.914679,0.093280
57,0.029111,1.014771,0.500000,0.943802,0.059544
58,0.071720,1.037194,0.500000,0.868106,0.151934
59,0.054571,1.028051,0.500000,0.897708,0.113948
60,0.057150,1.029415,0.500000,0.893186,0.119588
61,0.060327,1.031101,0.500000,0.887649,0.126571
62,0.077516,1.040321,0.500000,0.858345,0.165033
