system_id,baryon_x,baryon_y,lens_x,lens_y,sigma_grad_x,sigma_grad_y,sigma,baryon_ra_deg,baryon_dec_deg,lens_ra_deg,lens_dec_deg,sep_arcmin,match_mode,baryon_id,lens_id,baryon_source,lens_source
MCXC J1348.8+2635,0.000000000,0.000000000,0.056467814,-0.084282000,0.056467814,-0.084282000,0.300000000,207.2210000000,26.5960000000,207.2220525000,26.5945953000,0.101450030,id,MCXC J1348.8+2635,MCXC J1348.8+2635,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J2243.0-2009,0.000000000,0.000000000,0.045265883,0.117390000,0.045265883,0.117390000,0.300000000,340.7690000000,-20.1660000000,340.7698037000,-20.1640435000,0.125815094,id,MCXC J2243.0-2009,MCXC J2243.0-2009,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J1722.4+3208,0.000000000,0.000000000,0.101296679,0.084438000,0.101296679,0.084438000,0.300000000,260.6130000000,32.1340000000,260.6149937000,32.1354073000,0.131873556,id,MCXC J1722.4+3208,MCXC J1722.4+3208,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J1058.4+5647,0.000000000,0.000000000,-0.133648172,0.037212000,-0.133648172,0.037212000,0.300000000,164.6080000000,56.7920000000,164.6039329000,56.7926202000,0.138730932,id,MCXC J1058.4+5647,MCXC J1058.4+5647,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J0510.7-0801,0.000000000,0.000000000,0.051339169,-0.131796000,0.051339169,-0.131796000,0.300000000,77.6860000000,-8.0180000000,77.6868641000,-8.0201966000,0.141442149,id,MCXC J0510.7-0801,MCXC J0510.7-0801,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J0055.9+2622,0.000000000,0.000000000,0.150701757,0.021708000,0.150701757,0.021708000,0.300000000,13.9990000000,26.3780000000,14.0018036000,26.3783618000,0.152256973,id,MCXC J0055.9+2622,MCXC J0055.9+2622,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J0704.4+6318,0.000000000,0.000000000,-0.153285385,0.077712000,-0.153285385,0.077712000,0.300000000,106.1020000000,63.3160000000,106.0963110000,63.3172952000,0.171856066,id,MCXC J0704.4+6318,MCXC J0704.4+6318,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J0120.9-1351,0.000000000,0.000000000,0.168888660,-0.080448000,0.168888660,-0.080448000,0.300000000,20.2460000000,-13.8580000000,20.2488992000,-13.8593408000,0.187069761,id,MCXC J0120.9-1351,MCXC J0120.9-1351,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J0952.7+5153,0.000000000,0.000000000,0.094021778,-0.163464000,0.094021778,-0.163464000,0.300000000,148.1980000000,51.8910000000,148.2005391000,51.8882756000,0.188576536,id,MCXC J0952.7+5153,MCXC J0952.7+5153,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J0847.7+7741,0.000000000,0.000000000,-0.061113218,-0.185292000,-0.061113218,-0.185292000,0.300000000,131.9410000000,77.6920000000,131.9362218000,77.6889118000,0.195112463,id,MCXC J0847.7+7741,MCXC J0847.7+7741,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J1218.4+4013,0.000000000,0.000000000,-0.067463460,0.186996000,-0.067463460,0.186996000,0.300000000,184.6200000000,40.2180000000,184.6185275000,40.2211166000,0.198792890,id,MCXC J1218.4+4013,MCXC J1218.4+4013,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J0719.5+0043,0.000000000,0.000000000,-0.042314668,-0.195504000,-0.042314668,-0.195504000,0.300000000,109.8940000000,0.7190000000,109.8932947000,0.7157416000,0.200030864,id,MCXC J0719.5+0043,MCXC J0719.5+0043,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J0351.1-8212,0.000000000,0.000000000,-0.217335426,0.046944000,-0.217335426,0.046944000,0.300000000,57.7870000000,-82.2170000000,57.7602520000,-82.2162176000,0.222358146,id,MCXC J0351.1-8212,MCXC J0351.1-8212,mcxc_catalog_full.csv,psz2_catalog_full.csv
MCXC J1203.2-2131,0.000000000,0.000000000,0.247260283,-0.107640000,0.247260283,-0.107640000,0.300000000,180.8210000000,-21.5230000000,180.8254299000,-21.5247940000,0.269672509,id,MCXC J1203.2-2131,MCXC J1203.2-2131,mcxc_catalog_full.csv,psz2_catalog_full.csv
