system_id,baryon_x,baryon_y,lens_x,lens_y,sigma_grad_x,sigma_grad_y,sigma,baryon_ra_deg,baryon_dec_deg,lens_ra_deg,lens_dec_deg,sep_arcmin,match_mode,baryon_id,lens_id,baryon_source,lens_source
MCXC J0658.5-5556__SPT-CL J0658-5556,0.000000000,0.000000000,0.057115874,0.030000000,0.057115874,0.030000000,0.300000000,104.6300000000,-55.9470000000,104.6317000000,-55.9465000000,0.064515619,sky,MCXC J0658.5-5556,SPT-CL J0658-5556,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J2031.8-4037__SPT-CL J2031-4037,0.000000000,0.000000000,0.086531027,0.018000000,0.086531027,0.018000000,0.300000000,307.9650000000,-40.6200000000,307.9669000000,-40.6197000000,0.088383552,sky,MCXC J2031.8-4037,SPT-CL J2031-4037,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J0542.8-4100__SPT-CL J0542-4100,0.000000000,0.000000000,0.212824873,-0.204000000,0.212824873,-0.204000000,0.300000000,85.7120000000,-41.0010000000,85.7167000000,-41.0044000000,0.294801780,sky,MCXC J0542.8-4100,SPT-CL J0542-4100,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J0516.6-5430__SPT-CL J0516-5430,0.000000000,0.000000000,-0.233362613,0.192000000,-0.233362613,0.192000000,0.300000000,79.1580000000,-54.5140000000,79.1513000000,-54.5108000000,0.302202540,sky,MCXC J0516.6-5430,SPT-CL J0516-5430,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J2104.3-4120__SPT-CL J2104-4120,0.000000000,0.000000000,-0.387360900,0.090000000,-0.387360900,0.090000000,0.300000000,316.0840000000,-41.3490000000,316.0754000000,-41.3475000000,0.397683195,sky,MCXC J2104.3-4120,SPT-CL J2104-4120,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J0232.2-4420__SPT-CL J0232-4421,0.000000000,0.000000000,0.004290717,-0.426000000,0.004290717,-0.426000000,0.300000000,38.0700000000,-44.3470000000,38.0701000000,-44.3541000000,0.426021605,sky,MCXC J0232.2-4420,SPT-CL J0232-4421,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J2248.7-4431__SPT-CL J2248-4431,0.000000000,0.000000000,0.414905237,0.126000000,0.414905237,0.126000000,0.300000000,342.1810000000,-44.5290000000,342.1907000000,-44.5269000000,0.433622603,sky,MCXC J2248.7-4431,SPT-CL J2248-4431,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J0217.2-5244__SPT-CL J0217-5245,0.000000000,0.000000000,0.054480210,-0.540000000,0.054480210,-0.540000000,0.300000000,34.3020000000,-52.7470000000,34.3035000000,-52.7560000000,0.542740712,sky,MCXC J0217.2-5244,SPT-CL J0217-5245,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J0336.3-4037__SPT-CL J0336-4037,0.000000000,0.000000000,-0.414425669,-0.564000000,-0.414425669,-0.564000000,0.300000000,54.0780000000,-40.6220000000,54.0689000000,-40.6314000000,0.699871748,sky,MCXC J0336.3-4037,SPT-CL J0336-4037,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
MCXC J2246.3-5243__SPT-CL J2246-5244,0.000000000,0.000000000,0.232544908,-0.840000000,0.232544908,-0.840000000,0.300000000,341.5780000000,-52.7290000000,341.5844000000,-52.7430000000,0.871584631,sky,MCXC J2246.3-5243,SPT-CL J2246-5244,mcxc_catalog_full.csv,spt_sz_table4_catalog.csv
