side,raw_id,norm_id,ra_deg,dec_deg,source_tag,row_idx
baryon,MCXC J0000.1+0816,MCXCJ000010816,0.0300000000,8.2740000000,mcxc_catalog_full.csv,1
baryon,MCXC J0000.4-0237,MCXCJ000040237,0.1030000000,-2.6250000000,mcxc_catalog_full.csv,2
baryon,MCXC J0001.6-1540,MCXCJ000161540,0.4120000000,-15.6810000000,mcxc_catalog_full.csv,3
baryon,MCXC J0001.9+1204,MCXCJ000191204,0.4880000000,12.0730000000,mcxc_catalog_full.csv,4
baryon,MCXC J0003.1-0605,MCXCJ000310605,0.7990000000,-6.0860000000,mcxc_catalog_full.csv,5
baryon,MCXC J0003.2-3555,MCXCJ000323555,0.8010000000,-35.9270000000,mcxc_catalog_full.csv,6
baryon,MCXC J0003.8+0203,MCXCJ000380203,0.9610000000,2.0630000000,mcxc_catalog_full.csv,7
baryon,MCXC J0004.9+1142,MCXCJ000491142,1.2470000000,11.7010000000,mcxc_catalog_full.csv,8
baryon,MCXC J0005.3+1612,MCXCJ000531612,1.3440000000,16.2110000000,mcxc_catalog_full.csv,9
baryon,MCXC J0006.0-3443,MCXCJ000603443,1.5130000000,-34.7240000000,mcxc_catalog_full.csv,10
baryon,MCXC J0006.3+1052,MCXCJ000631052,1.5910000000,10.8680000000,mcxc_catalog_full.csv,11
baryon,MCXC J0008.9+4110,MCXCJ000894110,2.2370000000,41.1770000000,mcxc_catalog_full.csv,12
baryon,MCXC J0009.7-3516,MCXCJ000973516,2.4440000000,-35.2750000000,mcxc_catalog_full.csv,13
baryon,MCXC J0011.3-2851,MCXCJ001132851,2.8360000000,-28.8550000000,mcxc_catalog_full.csv,14
baryon,MCXC J0011.7-1523,MCXCJ001171523,2.9280000000,-15.3890000000,mcxc_catalog_full.csv,15
baryon,MCXC J0011.7+3225,MCXCJ001173225,2.9350000000,32.4170000000,mcxc_catalog_full.csv,16
baryon,MCXC J0013.6-1930,MCXCJ001361930,3.4090000000,-19.5020000000,mcxc_catalog_full.csv,17
baryon,MCXC J0014.3-6604,MCXCJ001436604,3.5770000000,-66.0770000000,mcxc_catalog_full.csv,18
baryon,MCXC J0014.3-3023,MCXCJ001433023,3.5780000000,-30.3830000000,mcxc_catalog_full.csv,19
baryon,MCXC J0014.3+0854,MCXCJ001430854,3.5830000000,8.9000000000,mcxc_catalog_full.csv,20
baryon,MCXC J0015.4-2350,MCXCJ001542350,3.8500000000,-23.8450000000,mcxc_catalog_full.csv,21
baryon,MCXC J0015.9+1614,MCXCJ001591614,3.9830000000,16.2490000000,mcxc_catalog_full.csv,22
baryon,MCXC J0016.3-3121,MCXCJ001633121,4.0820000000,-31.3650000000,mcxc_catalog_full.csv,23
baryon,MCXC J0016.7+0646,MCXCJ001670646,4.1890000000,6.7740000000,mcxc_catalog_full.csv,24
baryon,MCXC J0017.5-3509,MCXCJ001753509,4.3900000000,-35.1650000000,mcxc_catalog_full.csv,25
baryon,MCXC J0018.5+1626,MCXCJ001851626,4.6410000000,16.4380000000,mcxc_catalog_full.csv,26
baryon,MCXC J0019.0-2026,MCXCJ001902026,4.7660000000,-20.4380000000,mcxc_catalog_full.csv,27
baryon,MCXC J0019.6+2517,MCXCJ001962517,4.9130000000,25.2910000000,mcxc_catalog_full.csv,28
baryon,MCXC J0020.1+0005,MCXCJ002010005,5.0440000000,0.0920000000,mcxc_catalog_full.csv,29
baryon,MCXC J0020.5-4913,MCXCJ002054913,5.1420000000,-49.2280000000,mcxc_catalog_full.csv,30
baryon,MCXC J0020.6+2840,MCXCJ002062840,5.1700000000,28.6750000000,mcxc_catalog_full.csv,31
baryon,MCXC J0020.7-2542,MCXCJ002072542,5.1790000000,-25.7100000000,mcxc_catalog_full.csv,32
baryon,MCXC J0021.5+2803,MCXCJ002152803,5.4000000000,28.0510000000,mcxc_catalog_full.csv,33
baryon,MCXC J0022.0+0422,MCXCJ002200422,5.5140000000,4.3770000000,mcxc_catalog_full.csv,34
baryon,MCXC J0023.1+0421,MCXCJ002310421,5.7750000000,4.3540000000,mcxc_catalog_full.csv,35
baryon,MCXC J0024.0-1704,MCXCJ002401704,6.0150000000,-17.0760000000,mcxc_catalog_full.csv,36
baryon,MCXC J0024.5+3312,MCXCJ002453312,6.1330000000,33.2090000000,mcxc_catalog_full.csv,37
baryon,MCXC J0025.4-1222,MCXCJ002541222,6.3720000000,-12.3770000000,mcxc_catalog_full.csv,38
baryon,MCXC J0025.5-3302,MCXCJ002553302,6.3850000000,-33.0470000000,mcxc_catalog_full.csv,39
baryon,MCXC J0026.7+0501,MCXCJ002670501,6.6990000000,5.0240000000,mcxc_catalog_full.csv,40
baryon,MCXC J0027.3-5015,MCXCJ002735015,6.8390000000,-50.2510000000,mcxc_catalog_full.csv,41
baryon,MCXC J0027.8+2616,MCXCJ002782616,6.9570000000,26.2740000000,mcxc_catalog_full.csv,42
baryon,MCXC J0028.6-2338,MCXCJ002862338,7.1640000000,-23.6370000000,mcxc_catalog_full.csv,43
baryon,MCXC J0029.0+0742,MCXCJ002900742,7.2560000000,7.7030000000,mcxc_catalog_full.csv,44
baryon,MCXC J0029.8+1330,MCXCJ002981330,7.4610000000,13.5040000000,mcxc_catalog_full.csv,45
baryon,MCXC J0030.5+2618,MCXCJ003052618,7.6400000000,26.3040000000,mcxc_catalog_full.csv,46
baryon,MCXC J0030.6-2410,MCXCJ003062410,7.6570000000,-24.1810000000,mcxc_catalog_full.csv,47
baryon,MCXC J0034.2-0204,MCXCJ003420204,8.5580000000,-2.0750000000,mcxc_catalog_full.csv,48
baryon,MCXC J0034.6-0208,MCXCJ003460208,8.6500000000,-2.1400000000,mcxc_catalog_full.csv,49
baryon,MCXC J0035.4-2015,MCXCJ003542015,8.8590000000,-20.2630000000,mcxc_catalog_full.csv,50
baryon,MCXC J0035.9+8513,MCXCJ003598513,8.9970000000,85.2210000000,mcxc_catalog_full.csv,51
baryon,MCXC J0036.5+2544,MCXCJ003652544,9.1490000000,25.7440000000,mcxc_catalog_full.csv,52
baryon,MCXC J0037.0+0909,MCXCJ003700909,9.2720000000,9.1530000000,mcxc_catalog_full.csv,53
baryon,MCXC J0037.4-2831,MCXCJ003742831,9.3630000000,-28.5310000000,mcxc_catalog_full.csv,54
baryon,MCXC J0039.6+2114,MCXCJ003962114,9.9000000000,21.2390000000,mcxc_catalog_full.csv,55
baryon,MCXC J0040.0+0649,MCXCJ004000649,10.0020000000,6.8180000000,mcxc_catalog_full.csv,56
baryon,MCXC J0040.1-5607,MCXCJ004015607,10.0270000000,-56.1170000000,mcxc_catalog_full.csv,57
baryon,MCXC J0040.4+2933,MCXCJ004042933,10.1140000000,29.5590000000,mcxc_catalog_full.csv,58
baryon,MCXC J0041.1-2339,MCXCJ004112339,10.2930000000,-23.6590000000,mcxc_catalog_full.csv,59
baryon,MCXC J0041.7+2124,MCXCJ004172124,10.4460000000,21.4140000000,mcxc_catalog_full.csv,60
baryon,MCXC J0041.8-0918,MCXCJ004180918,10.4590000000,-9.3020000000,mcxc_catalog_full.csv,61
baryon,MCXC J0042.1-2832,MCXCJ004212832,10.5360000000,-28.5360000000,mcxc_catalog_full.csv,62
baryon,MCXC J0043.4-2037,MCXCJ004342037,10.8520000000,-20.6210000000,mcxc_catalog_full.csv,63
baryon,MCXC J0043.8+2424,MCXCJ004382424,10.9670000000,24.4020000000,mcxc_catalog_full.csv,64
baryon,MCXC J0045.3-2924,MCXCJ004532924,11.3280000000,-29.4010000000,mcxc_catalog_full.csv,65
baryon,MCXC J0045.7-2515,MCXCJ004572515,11.4380000000,-25.2620000000,mcxc_catalog_full.csv,66
baryon,MCXC J0046.3+8530,MCXCJ004638530,11.5810000000,85.5160000000,mcxc_catalog_full.csv,67
baryon,MCXC J0048.6-2114,MCXCJ004862114,12.1580000000,-21.2470000000,mcxc_catalog_full.csv,68
baryon,MCXC J0049.4-2931,MCXCJ004942931,12.3500000000,-29.5240000000,mcxc_catalog_full.csv,69
baryon,MCXC J0049.8+2426,MCXCJ004982426,12.4520000000,24.4410000000,mcxc_catalog_full.csv,70
baryon,MCXC J0050.9-0929,MCXCJ005090929,12.7470000000,-9.4870000000,mcxc_catalog_full.csv,71
baryon,MCXC J0051.1-4833,MCXCJ005114833,12.7970000000,-48.5600000000,mcxc_catalog_full.csv,72
baryon,MCXC J0051.3-2831,MCXCJ005132831,12.8300000000,-28.5190000000,mcxc_catalog_full.csv,73
baryon,MCXC J0052.7-8015,MCXCJ005278015,13.1870000000,-80.2660000000,mcxc_catalog_full.csv,74
baryon,MCXC J0054.0-2823,MCXCJ005402823,13.5120000000,-28.3990000000,mcxc_catalog_full.csv,75
baryon,MCXC J0055.9+2622,MCXCJ005592622,13.9990000000,26.3780000000,mcxc_catalog_full.csv,76
baryon,MCXC J0056.0-3732,MCXCJ005603732,14.0150000000,-37.5450000000,mcxc_catalog_full.csv,77
baryon,MCXC J0056.3-0112,MCXCJ005630112,14.0760000000,-1.2170000000,mcxc_catalog_full.csv,78
baryon,MCXC J0056.9-2213,MCXCJ005692213,14.2290000000,-22.2310000000,mcxc_catalog_full.csv,79
baryon,MCXC J0056.9-2740,MCXCJ005692740,14.2340000000,-27.6700000000,mcxc_catalog_full.csv,80
baryon,MCXC J0057.4-2616,MCXCJ005742616,14.3530000000,-26.2810000000,mcxc_catalog_full.csv,81
baryon,MCXC J0057.4+3012,MCXCJ005743012,14.3730000000,30.2140000000,mcxc_catalog_full.csv,82
baryon,MCXC J0057.8-6648,MCXCJ005786648,14.4500000000,-66.8120000000,mcxc_catalog_full.csv,83
baryon,MCXC J0058.4-1425,MCXCJ005841425,14.6180000000,-14.4270000000,mcxc_catalog_full.csv,84
baryon,MCXC J0058.9+2657,MCXCJ005892657,14.7260000000,26.9510000000,mcxc_catalog_full.csv,85
baryon,MCXC J0102.7-2152,MCXCJ010272152,15.6750000000,-21.8740000000,mcxc_catalog_full.csv,86
baryon,MCXC J0104.5-2400,MCXCJ010452400,16.1460000000,-24.0000000000,mcxc_catalog_full.csv,87
baryon,MCXC J0105.0+0201,MCXCJ010500201,16.2600000000,2.0300000000,mcxc_catalog_full.csv,88
baryon,MCXC J0105.1+3311,MCXCJ010513311,16.2790000000,33.1900000000,mcxc_catalog_full.csv,89
baryon,MCXC J0105.5-2439,MCXCJ010552439,16.3950000000,-24.6550000000,mcxc_catalog_full.csv,90
baryon,MCXC J0106.8+0103,MCXCJ010680103,16.7090000000,1.0550000000,mcxc_catalog_full.csv,91
baryon,MCXC J0106.8-0229,MCXCJ010680229,16.7180000000,-2.4900000000,mcxc_catalog_full.csv,92
baryon,MCXC J0106.9+3209,MCXCJ010693209,16.7460000000,32.1580000000,mcxc_catalog_full.csv,93
