system_id,ell,obs_dx,obs_dy,sigma_grad_x,sigma_grad_y,sigma,mv_nlkk,pp_nlkk
L00001,2,-2.198827633,-2.151940183,-2.198827633,-2.151940183,0.201406623,2.965803050089e-07,1.646624849988e-06
L00002,10,-1.837415790,-2.121520842,-1.837415790,-2.121520842,0.208523152,3.831458568930e-07,1.720385331220e-06
L00003,18,-1.733287243,-2.119089404,-1.733287243,-2.119089404,0.211574065,4.124857266590e-07,1.726421742007e-06
L00004,26,-1.687253234,-2.113314596,-1.687253234,-2.113314596,0.212781841,4.261628141083e-07,1.740843597043e-06
L00005,34,-1.666244535,-2.105383406,-1.666244535,-2.105383406,0.213174166,4.325544892507e-07,1.760847303274e-06
L00006,42,-1.661445962,-2.097096538,-1.661445962,-2.097096538,0.213069517,4.340278014341e-07,1.781993677815e-06
L00007,50,-1.674735205,-2.086558738,-1.674735205,-2.086558738,0.212354706,4.299598299656e-07,1.809251154183e-06
L00008,58,-1.688851281,-2.077467849,-1.688851281,-2.077467849,0.211658497,4.256805082915e-07,1.833100752039e-06
L00009,66,-1.699125690,-2.063949630,-1.699125690,-2.063949630,0.210944718,4.225926029095e-07,1.869147852021e-06
L00010,74,-1.709453222,-2.051685545,-1.709453222,-2.051685545,0.210266970,4.195113054023e-07,1.902463617114e-06
L00011,82,-1.719228909,-2.037180355,-1.719228909,-2.037180355,0.209538543,4.166153560531e-07,1.942634751565e-06
L00012,90,-1.727752013,-2.017682426,-1.727752013,-2.017682426,0.208697912,4.141067898932e-07,1.997972577208e-06
L00013,98,-1.734893562,-1.999762704,-1.734893562,-1.999762704,0.207946074,4.120164847483e-07,2.050220297925e-06
L00014,106,-1.736312198,-1.975382838,-1.736312198,-1.975382838,0.207172119,4.116025129627e-07,2.123504350930e-06
L00015,114,-1.733722563,-1.950358901,-1.733722563,-1.950358901,0.206499090,4.123585072300e-07,2.201449500991e-06
L00016,122,-1.727053678,-1.925578203,-1.727053678,-1.925578203,0.205955736,4.143117581098e-07,2.281456138367e-06
L00017,130,-1.717424760,-1.896216254,-1.717424760,-1.896216254,0.205363745,4.171483086995e-07,2.380025772042e-06
L00018,138,-1.701057607,-1.862012761,-1.701057607,-1.862012761,0.204828655,4.220144849406e-07,2.500231266142e-06
L00019,146,-1.683543597,-1.828099181,-1.683543597,-1.828099181,0.204336668,4.272845259198e-07,2.625411162176e-06
L00020,154,-1.662249056,-1.791731400,-1.662249056,-1.791731400,0.203884470,4.337808773670e-07,2.766622337172e-06
L00021,162,-1.634910232,-1.754107250,-1.634910232,-1.754107250,0.203575911,4.422661736387e-07,2.920710053663e-06
L00022,170,-1.607374454,-1.714204915,-1.607374454,-1.714204915,0.203204914,4.509803883731e-07,3.093515520290e-06
L00023,178,-1.571809475,-1.671459941,-1.571809475,-1.671459941,0.202989514,4.624901802259e-07,3.289989980812e-06
L00024,186,-1.535844367,-1.627951651,-1.535844367,-1.627951651,0.202763219,4.744282183799e-07,3.502792408986e-06
L00025,194,-1.497470802,-1.585441102,-1.497470802,-1.585441102,0.202639109,4.875056954721e-07,3.724002932717e-06
L00026,202,-1.458878647,-1.539784051,-1.458878647,-1.539784051,0.202427162,5.010212483278e-07,3.977170003360e-06
L00027,210,-1.423812073,-1.492273041,-1.423812073,-1.492273041,0.202053829,5.136267381121e-07,4.258907202851e-06
L00028,218,-1.382870345,-1.444130759,-1.382870345,-1.444130759,0.201837812,5.287460529300e-07,4.564751479302e-06
L00029,226,-1.339741338,-1.399800805,-1.339741338,-1.399800805,0.201801784,5.451547139541e-07,4.865763719895e-06
