system_id,ra_deg,dec_deg,z,catalog,sub_catalog,source
MCXC J0000.1+0816,0.030000,8.274000,0.039600,NORAS/REFLEX,NORAS,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0000.4-0237,0.103000,-2.625000,0.037900,SGP,SGP,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0001.6-1540,0.412000,-15.681000,0.124600,SGP,SGP,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0001.9+1204,0.488000,12.073000,0.203300,NORAS/REFLEX,NORAS,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0003.1-0605,0.799000,-6.086000,0.232000,NORAS/REFLEX,REFLEX,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0003.2-3555,0.801000,-35.927000,0.049000,NORAS/REFLEX,REFLEX,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0003.8+0203,0.961000,2.063000,0.092400,NORAS/REFLEX,REFLEX,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0004.9+1142,1.247000,11.701000,0.076100,NORAS/REFLEX,NORAS,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0005.3+1612,1.344000,16.211000,0.116400,NORAS/REFLEX,NORAS,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0006.0-3443,1.513000,-34.724000,0.114700,NORAS/REFLEX,REFLEX,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0006.3+1052,1.591000,10.868000,0.169800,NORAS/REFLEX,NORAS,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0008.9+4110,2.237000,41.177000,0.153700,BCS,eBCS,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0009.7-3516,2.444000,-35.275000,0.050000,EMSS,EMSS_1994,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0011.3-2851,2.836000,-28.855000,0.062000,NORAS/REFLEX,REFLEX,MCXC CDS J/A+A/534/A109 (mcxc.dat)
MCXC J0011.7-1523,2.928000,-15.389000,0.378000,MACS,MACS_BRIGHT,MCXC CDS J/A+A/534/A109 (mcxc.dat)
