system_id,ra_deg,dec_deg,snr,z,planck_name,mcxc_cross_id,act_cross_id,spt_cross_id,source
MCXC J1516.5-0056,229.1905120,-1.0172220,6.75319,0.119800,PSZ2 G000.04+45.13,J1516.5-0056,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1334.1+2013,203.5586828,20.2559905,9.25669,0.171000,PSZ2 G000.13+78.04,J1334.1+2013,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2104.3-4120,316.0844846,-41.3541688,9.70428,0.165100,PSZ2 G000.40-41.86,J2104.3-4120,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2031.8-4037,307.9728437,-40.5987254,6.58179,0.341600,PSZ2 G000.77-35.69,J2031.8-4037,,SPT-CLJ2031-4037,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G002.04-22.15,291.3596104,-36.5179436,5.12563,-1.000000,PSZ2 G002.04-22.15,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G002.08-68.28,349.6324313,-36.3325590,4.75040,0.140000,PSZ2 G002.08-68.28,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G002.42+69.64,210.9933174,15.6884267,4.62169,0.180518,PSZ2 G002.42+69.64,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2218.6-3853,334.6594732,-38.8794056,9.19606,0.141100,PSZ2 G002.77-56.16,J2218.6-3853,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1540.1-0318,235.0151759,-3.2851353,8.07308,0.153300,PSZ2 G002.82+39.23,J1540.1-0318,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G002.88-22.45,292.0147682,-35.8760934,4.80061,-1.000000,PSZ2 G002.88-22.45,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G003.21-76.04,358.3512149,-33.2932444,4.78953,-1.000000,PSZ2 G003.21-76.04,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2106.0-3846,316.4675077,-38.7531602,9.33304,0.152100,PSZ2 G003.91-42.03,J2106.0-3846,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2234.5-3744,338.6080936,-37.7413184,17.35802,0.151000,PSZ2 G003.93-59.41,J2234.5-3744,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G004.04+42.23,233.2733365,-0.6754162,4.75789,0.151272,PSZ2 G004.04+42.23,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1447.4+0827,221.8651319,8.4516901,6.75999,0.380000,PSZ2 G004.13+56.81,J1447.4+0827,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G004.45-19.55,289.2667301,-33.5415664,9.06547,0.540000,PSZ2 G004.45-19.55,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1959.1-3454,299.8068699,-34.8917777,5.98316,0.172800,PSZ2 G005.91-28.26,J1959.1-3454,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G006.05+29.43,244.4061203,-7.2624651,5.09372,0.252300,PSZ2 G006.05+29.43,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G006.16-69.49,350.5375195,-34.5752135,4.55340,-1.000000,PSZ2 G006.16-69.49,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G006.38+62.03,218.3080283,12.4862713,5.65158,0.235712,PSZ2 G006.38+62.03,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1510.9+0543,227.7289500,5.7681015,23.17088,0.076600,PSZ2 G006.49+50.56,J1510.9+0543,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2034.7-3548,308.7059326,-35.8250814,11.85154,0.089400,PSZ2 G006.68-35.55,J2034.7-3548,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1615.7-0608,243.9548801,-6.1523633,35.01054,0.203000,PSZ2 G006.76+30.45,J1615.7-0608,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2030.7-3532,307.7109920,-35.5641276,5.02210,0.139800,PSZ2 G006.82-34.71,J2030.7-3532,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G006.84+50.69,227.7552391,6.0220111,5.73192,0.075728,PSZ2 G006.84+50.69,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G007.57-33.90,306.8860604,-34.7965297,4.82758,0.550000,PSZ2 G007.57-33.90,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G007.67-43.18,318.1795790,-36.0843971,5.38838,-1.000000,PSZ2 G007.67-43.18,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G007.76-36.83,310.4392910,-35.1877584,5.74397,0.089462,PSZ2 G007.76-36.83,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G008.31-64.74,344.6782281,-34.7882452,10.94720,0.312000,PSZ2 G008.31-64.74,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2217.7-3543,334.4436414,-35.7155681,10.05360,0.148600,PSZ2 G008.47-56.34,J2217.7-3543,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G008.70-31.44,304.2413269,-33.3263800,5.34288,-1.000000,PSZ2 G008.70-31.44,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2034.7-3404,308.6595074,-34.0615138,6.28531,0.093600,PSZ2 G008.80-35.18,J2034.7-3404,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0014.3-3023,3.5590615,-30.3876160,15.31582,0.306600,PSZ2 G008.94-81.22,J0014.3-3023,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G009.04+31.09,244.5860131,-4.1892994,5.04280,-1.000000,PSZ2 G009.04+31.09,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2220.5-3509,335.1335605,-35.1375985,7.29635,0.154400,PSZ2 G009.45-56.93,J2220.5-3509,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G010.76-16.91,288.9423815,-26.9947969,4.63515,-1.000000,PSZ2 G010.76-16.91,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2253.5-3343,343.3862166,-33.7388626,5.36425,0.224000,PSZ2 G011.06-63.84,J2253.5-3343,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1521.8+0742,230.4768984,7.6737460,5.36439,0.044200,PSZ2 G011.36+49.42,J1521.8+0742,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G011.36-72.93,354.0538503,-32.1343132,6.26367,-1.000000,PSZ2 G011.36-72.93,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2049.9-3216,312.4504689,-32.2998671,5.37476,0.323000,PSZ2 G011.72-37.96,J2049.9-3216,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G011.92-63.53,342.9760369,-33.3941814,5.72106,-1.000000,PSZ2 G011.92-63.53,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1931.8-2634,292.9782279,-26.5666362,7.01150,0.352000,PSZ2 G012.59-20.10,J1931.8-2634,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1523.0+0836,230.7673885,8.6073949,6.75556,0.035500,PSZ2 G012.81+49.68,J1523.0+0836,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G013.06-75.46,356.8526134,-31.1508624,5.28891,-1.000000,PSZ2 G013.06-75.46,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G013.74-45.53,321.5663381,-32.0254458,5.18606,0.323033,PSZ2 G013.74-45.53,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G014.09+38.38,240.8561420,3.3223744,5.20146,0.222200,PSZ2 G014.09+38.38,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G014.33+60.23,221.9786505,14.7693644,4.99666,0.219834,PSZ2 G014.33+60.23,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G014.72-62.49,341.6334404,-32.2011155,5.21311,-1.000000,PSZ2 G014.72-62.49,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G015.75-28.66,303.0771843,-26.7054291,4.76452,0.149000,PSZ2 G015.75-28.66,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G017.25-70.71,351.1688847,-30.6510697,5.19466,-1.000000,PSZ2 G017.25-70.71,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G017.72-51.40,328.7492675,-30.1324674,4.53554,-1.000000,PSZ2 G017.72-51.40,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G018.06-36.38,311.9957084,-27.0195059,5.64942,-1.000000,PSZ2 G018.06-36.38,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J2234.8-3033,338.7121482,-30.5418645,6.35725,0.251500,PSZ2 G018.18-60.00,J2234.8-3033,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
