system_id,ra_deg,dec_deg,xi,raw_id_token,source_line,source
SPT-CL J0000-5748,0.2499000000,-57.8064000000,8.490000,J0000-5748,2220,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0003-5253,0.8237000000,-52.8970000000,5.370000,J0003-5253,1782,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0013-4906,3.3290000000,-49.1151000000,11.220000,J0013-4906,2233,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0014-4952,3.6969000000,-49.8772000000,8.870000,J0014-4952,2236,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0033-6326,8.4767000000,-63.4463000000,7.500000,J0033-6326,2252,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0037-5047,9.4441000000,-50.7971000000,6.930000,J0037-5047,2255,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0040-4407,10.2048000000,-44.1329000000,19.340000,J0040-4407,2257,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0058-6145,14.5799000000,-61.7635000000,7.520000,J0058-6145,2274,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0102-4603,15.6690000000,-46.0647000000,7.330000,J0102-4603,2277,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0102-4915,15.7294000000,-49.2611000000,39.910000,J0102-4915,2278,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0106-5943,16.6152000000,-59.7214000000,9.570000,J0106-5943,2291,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0115-5959,18.8096000000,-59.9887000000,5.910000,J0115-5959,1783,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0123-4821,20.7923000000,-48.3588000000,6.920000,J0123-4821,2311,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0142-5032,25.5452000000,-50.5438000000,10.120000,J0142-5032,2323,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0151-5954,27.8597000000,-59.9059000000,7.730000,J0151-5954,2338,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0156-5541,29.0449000000,-55.6980000000,6.980000,J0156-5541,2341,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0200-4852,30.1436000000,-48.8757000000,7.380000,J0200-4852,2344,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0205-4125,31.3274000000,-41.4224000000,7.050000,J0205-4125,1784,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0212-4657,33.1061000000,-46.9502000000,10.050000,J0212-4657,2364,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0217-5245,34.3035000000,-52.7560000000,6.460000,J0217-5245,2373,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0222-5335,35.6926000000,-53.5970000000,5.160000,J0222-5335,1785,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0232-4421,38.0701000000,-44.3541000000,23.960000,J0232-4421,2385,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0232-5257,38.1876000000,-52.9578000000,8.650000,J0232-5257,2386,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0234-5831,38.6786000000,-58.5214000000,14.660000,J0234-5831,2388,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0235-5121,38.9468000000,-51.3516000000,9.780000,J0235-5121,2389,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0243-5930,40.8615000000,-59.5124000000,7.670000,J0243-5930,2398,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0245-5302,41.3805000000,-53.0359000000,15.950000,J0245-5302,1786,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0252-4824,43.1881000000,-48.4124000000,7.030000,J0252-4824,2404,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0256-5617,44.0997000000,-56.2980000000,7.450000,J0256-5617,2410,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0304-4401,46.0702000000,-44.0314000000,15.690000,J0304-4401,2422,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0304-4921,46.0619000000,-49.3612000000,12.750000,J0304-4921,2421,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0307-5042,46.9516000000,-50.7071000000,8.440000,J0307-5042,2436,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0307-6225,46.8336000000,-62.4327000000,8.460000,J0307-6225,2434,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0321-4515,50.3200000000,-45.2556000000,5.880000,J0321-4515,1787,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0324-6236,51.0530000000,-62.6021000000,8.750000,J0324-6236,2453,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0334-4659,53.5464000000,-46.9932000000,9.200000,J0334-4659,2463,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0334-6008,53.6899000000,-60.1497000000,7.110000,J0334-6008,1788,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0336-4037,54.0689000000,-40.6314000000,9.940000,J0336-4037,1789,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0346-5439,56.7247000000,-54.6505000000,9.250000,J0346-5439,2486,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0348-4515,57.0737000000,-45.2510000000,10.120000,J0348-4515,2487,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0352-5647,58.2367000000,-56.7996000000,7.130000,J0352-5647,2491,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0406-4805,61.7275000000,-48.0866000000,8.130000,J0406-4805,2520,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0411-4819,62.8154000000,-48.3218000000,15.260000,J0411-4819,2524,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0417-4748,64.3451000000,-47.8139000000,14.240000,J0417-4748,2531,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0426-5455,66.5199000000,-54.9197000000,8.850000,J0426-5455,2540,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0434-5727,68.6315000000,-57.4523000000,5.060000,J0434-5727,1790,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0438-5419,69.5749000000,-54.3212000000,22.880000,J0438-5419,2550,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0440-4744,70.2431000000,-47.7370000000,5.180000,J0440-4744,1791,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0441-4855,70.4511000000,-48.9190000000,8.560000,J0441-4855,2554,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0442-5905,70.6496000000,-59.0929000000,6.270000,J0442-5905,1792,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0449-4901,72.2742000000,-49.0246000000,8.910000,J0449-4901,2567,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0456-5116,74.1163000000,-51.2768000000,8.580000,J0456-5116,2581,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0509-5342,77.3374000000,-53.7053000000,8.500000,J0509-5342,2597,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0516-5430,79.1513000000,-54.5108000000,12.410000,J0516-5430,2603,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0528-5300,82.0196000000,-53.0024000000,6.550000,J0528-5300,2614,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0533-5005,83.4009000000,-50.0901000000,7.080000,J0533-5005,2621,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0542-4100,85.7167000000,-41.0044000000,7.920000,J0542-4100,2630,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0546-5345,86.6525000000,-53.7625000000,10.760000,J0546-5345,2637,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0555-6406,88.8662000000,-64.1032000000,12.720000,J0555-6406,2656,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0559-5249,89.9251000000,-52.8260000000,10.640000,J0559-5249,2660,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0616-5227,94.1430000000,-52.4546000000,7.810000,J0616-5227,1793,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0655-5234,103.9626000000,-52.5677000000,7.760000,J0655-5234,2716,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J0658-5556,104.6317000000,-55.9465000000,39.050000,J0658-5556,2726,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2031-4037,307.9669000000,-40.6197000000,17.520000,J2031-4037,2755,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2034-5936,308.5401000000,-59.6017000000,8.530000,J2034-5936,2758,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2035-5251,308.8012000000,-52.8519000000,9.710000,J2035-5251,2760,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2043-5035,310.8284000000,-50.5938000000,7.180000,J2043-5035,2770,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2104-4120,316.0754000000,-41.3475000000,8.970000,J2104-4120,1794,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2106-5844,316.5206000000,-58.7451000000,22.220000,J2106-5844,2787,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2135-5726,323.9164000000,-57.4409000000,10.510000,J2135-5726,2824,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2142-6419,325.7063000000,-64.3224000000,9.440000,J2142-6419,1795,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2145-5644,326.4682000000,-56.7476000000,12.600000,J2145-5644,2838,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2146-4633,326.6462000000,-46.5500000000,9.670000,J2146-4633,2840,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2148-6116,327.1812000000,-61.2780000000,7.470000,J2148-6116,2843,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2154-5936,328.7003000000,-59.6068000000,6.310000,J2154-5936,1797,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2154-5952,328.6973000000,-59.8821000000,7.100000,J2154-5952,1796,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2218-4519,334.7486000000,-45.3205000000,8.840000,J2218-4519,2876,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2222-4834,335.7122000000,-48.5735000000,9.080000,J2222-4834,2879,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2232-5959,338.1487000000,-59.9903000000,8.800000,J2232-5959,2885,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2233-5339,338.3295000000,-53.6502000000,8.290000,J2233-5339,2887,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2236-4555,339.2186000000,-45.9279000000,7.720000,J2236-4555,2890,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2245-6206,341.2604000000,-62.1136000000,8.740000,J2245-6206,2895,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2246-5244,341.5844000000,-52.7430000000,5.670000,J2246-5244,1798,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2248-4431,342.1907000000,-44.5269000000,42.360000,J2248-4431,2896,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2258-4044,344.7051000000,-40.7386000000,10.950000,J2258-4044,2907,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2259-6057,344.7528000000,-60.9546000000,9.770000,J2259-6057,2908,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2300-5100,345.1034000000,-51.0126000000,5.220000,J2300-5100,1799,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2301-4023,345.4687000000,-40.3912000000,8.090000,J2301-4023,2917,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2306-6505,346.7298000000,-65.0910000000,9.220000,J2306-6505,2920,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2325-4111,351.3043000000,-41.1959000000,12.500000,J2325-4111,2932,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2331-5051,352.9608000000,-50.8639000000,10.470000,J2331-5051,2945,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2335-4544,353.7861000000,-45.7389000000,10.370000,J2335-4544,2948,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2337-5942,354.3523000000,-59.7049000000,20.350000,J2337-5942,2950,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2341-5119,355.2991000000,-51.3281000000,12.490000,J2341-5119,2953,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2342-5411,355.6892000000,-54.1856000000,8.180000,J2342-5411,2955,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2344-4243,356.1847000000,-42.7209000000,27.440000,J2344-4243,2958,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2345-6405,356.2555000000,-64.0959000000,9.420000,J2345-6405,2959,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2347-6246,356.8065000000,-62.7693000000,6.630000,J2347-6246,1800,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2352-4657,358.0631000000,-46.9569000000,7.460000,J2352-4657,2963,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2355-5055,358.9498000000,-50.9320000000,6.600000,J2355-5055,2967,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
SPT-CL J2359-5009,359.9230000000,-50.1649000000,6.680000,J2359-5009,2975,SPT-SZ 2500 deg^2 PDF Table 4 text extraction
