system_id,radius,v_obs,v_err,baryon_term,history_term
CamB,0.160000,1.990000,1.500000,17.522100,0.000000
CamB,0.410000,4.840000,1.500000,107.658500,0.000000
CamB,0.570000,6.790000,1.500000,169.769700,0.000000
CamB,0.730000,8.870000,1.500000,234.071300,0.000000
CamB,0.900000,10.900000,1.500000,279.412900,0.000000
CamB,1.060000,12.900000,1.500000,303.491200,0.000000
CamB,1.220000,14.700000,1.500000,302.961700,0.000000
CamB,1.470000,16.800000,1.500000,318.096400,0.000000
CamB,1.790000,20.100000,1.500000,270.056200,133.953800
D512-2,0.960000,22.900000,2.710000,237.168900,287.241100
D512-2,1.920000,33.500000,2.710000,488.377600,633.872400
D512-2,2.880000,37.200000,4.190000,478.216100,905.623900
D512-2,3.830000,35.900000,5.980000,468.654500,820.155500
D564-8,0.510000,8.540000,1.530000,52.490500,20.441100
D564-8,1.020000,15.100000,1.410000,103.404500,124.605500
D564-8,1.530000,19.800000,1.800000,122.823700,269.216300
D564-8,2.040000,21.900000,1.820000,123.622100,355.987900
D564-8,2.560000,24.000000,1.890000,116.451400,459.548600
D564-8,3.070000,25.000000,2.050000,108.084100,516.915900
D631-7,0.450000,8.410000,1.580000,170.360100,0.000000
D631-7,0.900000,17.800000,2.220000,423.390500,0.000000
D631-7,1.350000,26.000000,2.350000,709.867600,0.000000
D631-7,1.800000,30.900000,2.220000,807.115300,147.694700
D631-7,2.250000,34.700000,1.820000,792.816400,411.273600
D631-7,2.690000,38.800000,1.810000,776.709700,728.730300
D631-7,3.140000,42.500000,1.570000,731.102500,1075.147500
D631-7,3.590000,45.600000,1.590000,691.114500,1388.245500
D631-7,4.040000,48.800000,1.830000,651.581300,1729.858700
D631-7,4.490000,51.800000,1.910000,605.970100,2077.269900
D631-7,4.940000,54.800000,2.190000,565.763300,2437.276700
D631-7,5.390000,56.600000,2.730000,524.987200,2678.572800
D631-7,5.840000,58.400000,3.270000,488.065000,2922.495000
D631-7,6.290000,58.500000,3.950000,453.847400,2968.402600
D631-7,6.740000,57.700000,4.070000,422.834000,2906.456000
D631-7,7.190000,57.300000,3.940000,394.027300,2889.262700
DDO064,0.100000,6.290000,4.620000,5.118500,34.445600
DDO064,0.300000,13.900000,4.620000,45.818600,147.391400
DDO064,0.490000,15.600000,4.620000,93.918500,149.441500
DDO064,0.690000,18.400000,4.620000,199.966500,138.593500
DDO064,0.890000,22.500000,4.620000,233.322500,272.927500
DDO064,1.090000,26.500000,4.620000,293.989000,408.261000
DDO064,1.290000,35.300000,4.620000,386.979700,859.110300
DDO064,1.480000,40.500000,4.620000,521.860000,1118.390000
DDO064,1.680000,44.200000,4.890000,629.962000,1323.678000
DDO064,1.880000,46.300000,4.620000,711.597200,1432.092800
DDO064,2.080000,46.400000,4.620000,750.539600,1402.420400
DDO064,2.270000,46.300000,4.620000,759.141800,1384.548200
DDO064,2.370000,46.400000,6.730000,770.280200,1382.679800
DDO064,2.980000,46.900000,8.650000,787.693000,1411.917000
DDO154,0.490000,13.800000,1.600000,165.523700,24.916300
DDO154,0.990000,21.600000,0.800000,267.354100,199.205900
DDO154,1.480000,28.900000,0.700000,285.859400,549.350600
DDO154,1.970000,34.300000,0.500000,310.594000,865.896000
DDO154,2.470000,38.200000,0.400000,321.785300,1137.454700
DDO154,2.960000,42.000000,0.200000,346.345600,1417.654400
DDO154,3.460000,44.600000,0.200000,379.816900,1609.343100
DDO154,3.950000,46.300000,0.200000,381.141000,1762.549000
DDO154,4.440000,47.400000,0.300000,358.694500,1888.065500
DDO154,4.940000,48.200000,0.600000,334.097000,1989.143000
DDO154,5.430000,47.400000,0.700000,307.940900,1938.819100
DDO154,5.920000,45.500000,1.300000,283.797200,1786.452800
DDO161,0.600000,16.000000,3.530000,205.020500,50.979500
DDO161,0.730000,16.600000,4.830000,268.142800,7.417200
DDO161,0.850000,18.600000,2.500000,319.662900,26.297100
DDO161,0.980000,20.000000,7.580000,398.729700,1.270300
DDO161,1.070000,21.400000,4.030000,452.093800,5.866200
DDO161,1.540000,28.900000,2.740000,735.202000,100.008000
DDO161,2.020000,32.900000,2.650000,972.194000,110.216000
DDO161,2.490000,35.200000,2.880000,1131.332900,107.707100
DDO161,2.960000,37.600000,3.050000,1218.478500,195.281500
DDO161,3.430000,40.600000,3.680000,1247.797700,400.562300
DDO161,3.900000,42.700000,3.250000,1281.884500,541.405500
DDO161,4.370000,45.500000,2.990000,1293.592900,776.657100
DDO161,4.860000,48.900000,1.960000,1295.016400,1096.193600
DDO161,5.340000,51.500000,1.530000,1288.232200,1364.017800
DDO161,5.810000,53.000000,1.860000,1272.688100,1536.311900
DDO161,6.280000,55.000000,1.480000,1274.980000,1750.020000
DDO161,6.750000,57.600000,0.990000,1278.797000,2038.963000
DDO161,7.220000,59.700000,1.190000,1293.674400,2270.415600
DDO161,7.690000,60.500000,1.260000,1321.882400,2338.367600
DDO161,8.160000,61.800000,1.330000,1354.007200,2465.232800
DDO161,8.640000,62.900000,1.350000,1370.570500,2585.839500
DDO161,9.110000,63.000000,2.090000,1391.196500,2577.803500
DDO161,9.580000,64.500000,2.380000,1384.498000,2775.752000
DDO161,10.050000,65.600000,1.080000,1369.584800,2933.775200
DDO161,10.520000,67.500000,3.220000,1317.609000,3238.641000
DDO161,10.990000,66.800000,2.370000,1258.276000,3203.964000
DDO161,11.460000,66.800000,0.950000,1191.528500,3270.711500
DDO161,11.940000,66.600000,0.960000,1127.470900,3308.089100
DDO161,12.410000,66.800000,0.990000,1066.042000,3396.198000
DDO161,12.900000,66.300000,0.740000,1015.215700,3380.474300
DDO161,13.370000,66.100000,1.310000,958.084200,3411.125800
DDO168,0.410000,15.000000,4.100000,176.926500,48.073500
DDO168,0.820000,23.400000,1.300000,487.162000,60.398000
DDO168,1.240000,29.200000,1.500000,631.920200,220.719800
DDO168,1.640000,36.200000,1.100000,663.720100,646.719900
DDO168,2.060000,44.000000,1.100000,769.272100,1166.727900
DDO168,2.470000,52.100000,1.200000,802.137800,1912.272200
DDO168,2.890000,52.900000,1.700000,815.362600,1983.047400
DDO168,3.300000,54.800000,2.200000,812.603700,2190.436300
DDO168,3.710000,55.000000,2.500000,811.573200,2213.426800
DDO168,4.120000,52.000000,2.700000,785.084500,1918.915500
DDO170,1.870000,27.700000,3.000000,406.218500,361.071500
DDO170,3.360000,42.400000,1.500000,617.167400,1180.592600
DDO170,4.860000,52.500000,1.000000,821.551700,1934.698300
DDO170,6.350000,55.600000,1.000000,973.141000,2118.219000
DDO170,7.850000,58.600000,1.100000,1075.827700,2358.132300
DDO170,9.340000,59.000000,1.200000,1064.868100,2416.131900
DDO170,10.830000,60.000000,1.300000,974.235400,2625.764600
DDO170,12.330000,62.200000,1.000000,845.310100,3023.529900
ESO079-G014,0.410000,33.200000,11.600000,842.986600,259.253400
ESO079-G014,0.980000,50.400000,11.800000,2285.208100,254.951900
ESO079-G014,1.780000,53.900000,9.750000,3900.730600,0.000000
ESO079-G014,2.690000,67.600000,5.100000,5770.332900,0.000000
ESO079-G014,3.360000,81.700000,5.060000,6842.756500,0.000000
ESO079-G014,4.390000,102.000000,5.350000,7632.701000,2771.299000
ESO079-G014,5.650000,116.000000,6.440000,8596.622900,4859.377100
ESO079-G014,6.340000,132.000000,9.100000,9356.964500,8067.035500
ESO079-G014,6.890000,137.000000,5.250000,10247.177800,8521.822200
ESO079-G014,8.340000,154.000000,4.200000,13249.589000,10466.411000
ESO079-G014,10.040000,163.000000,3.280000,17155.931300,9413.068700
