<HTML>
<HEAD><TITLE>ModelWeb Results</TITLE></HEAD>
<BODY>
<Body><center><font size=5 color=red><b>HelioWeb Browser Results</b></font><br>
<font size=3 color=red><b><i>Position Vectors (PV) for  Juno minus PV for EARTH (IMP8,etc) , and Distance between two objects</i></b> </font> </center><br>
<font size=3 color=black><b>Input parameters</b> </font><br>
start_year= 2013, start_day= 282, stop_year= 2013, stop_day= 282<br> 
coordinate= Solar Ecliptic, resolution= Hourly, equinox= Mean of date<BR>
<hr><pre>YEAR DAY  HR    RAD_AU    SE_LAT    SE_LON  Distance
2013 282   0   -0.0046    -0.002   359.890    0.0049
2013 282   1   -0.0043    -0.002   359.895    0.0047
2013 282   2   -0.0041    -0.002   359.901    0.0044
2013 282   3   -0.0039    -0.002   359.907    0.0042
2013 282   4   -0.0036    -0.002   359.912    0.0039
2013 282   5   -0.0034    -0.002   359.918    0.0037
2013 282   6   -0.0032    -0.002   359.923    0.0034
2013 282   7   -0.0029    -0.002   359.929    0.0032
2013 282   8   -0.0027    -0.002   359.934    0.0029
2013 282   9   -0.0025    -0.002   359.940    0.0027
2013 282  10   -0.0022    -0.002   359.945    0.0024
2013 282  11   -0.0020    -0.002   359.951    0.0022
2013 282  12   -0.0018    -0.002   359.956    0.0019
2013 282  13   -0.0015    -0.002   359.962    0.0017
2013 282  14   -0.0013    -0.002   359.967    0.0014
2013 282  15   -0.0011    -0.002   359.973    0.0012
2013 282  16   -0.0008    -0.002   359.978    0.0009
2013 282  17   -0.0006    -0.002   359.983    0.0006
2013 282  18   -0.0003    -0.002   359.989    0.0004
2013 282  19   -0.0001    -0.002   359.995    0.0001
2013 282  20    0.0001     0.002     0.007    0.0002
2013 282  21    0.0003     0.006     0.019    0.0005
2013 282  22    0.0004     0.011     0.032    0.0007
2013 282  23    0.0005     0.015     0.044    0.0010
</pre><hr width=70%>
